+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/buildings2.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 23825.000  | 262075.000  | 11912.500  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-logo.svg                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 4749.000   | 4749.000   | 4749.000    | 4749.000   |
| 72    | 0   | 16   | 56  | 0   | 0   | GET    | /assets/colors-DB9lnfSt.js            | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 5678.000   | 90848.000   | 1261.778   |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/buildings1.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 13886.000  | 152746.000  | 6943.000   |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/buildings4.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 4582.000   | 50402.000   | 2291.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/get-initial-data-vd1rP8TD.js  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 1757.000   | 1757.000   | 1757.000    | 1757.000   |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /assets/frame-CJ9SHS1U.js             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 344.000    | 3784.000    | 172.000    |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/house2.svg                    | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 6430.000   | 70730.000   | 3215.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-bg.png                    | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 549793.000 | 549793.000 | 549793.000  | 549793.000 |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /images/buildings5.svg                | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 9858.000   | 108438.000  | 4929.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /favicon-128x128.png                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 783.000    | 783.000    | 783.000     | 783.000    |
| 22    | 0   | 11   | 11  | 0   | 0   | GET    | /assets/client-context-C6wEaUbS.js    | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 2262.000   | 24882.000   | 1131.000   |
| 16    | 0   | 16   | 0   | 0   | 0   | GET    | /assets/form-frame-AzQ8YT1a.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 824.000    | 824.000    | 13184.000   | 824.000    |
